"provider_id","provider_name","npi","dea","specialty_concept_id","care_site_id","year_of_birth","gender_concept_id","provider_source_value","specialty_source_value","specialty_source_concept_id","gender_source_value","gender_source_concept_id"
1,NA,"3139083564",NA,0,1,NA,0,"3139083564",NA,0,NA,0
2,NA,"4824842417",NA,0,2,NA,0,"4824842417",NA,0,NA,0
3,NA,"9382129590",NA,0,3,NA,0,"9382129590",NA,0,NA,0
4,NA,"2657039888",NA,0,4,NA,0,"2657039888",NA,0,NA,0
5,NA,"3517371403",NA,0,5,NA,0,"3517371403",NA,0,NA,0
6,NA,"7128674558",NA,0,6,NA,0,"7128674558",NA,0,NA,0
7,NA,"1112729228",NA,0,7,NA,0,"1112729228",NA,0,NA,0
9,NA,"1119000316",NA,0,8,NA,0,"4971602784",NA,0,NA,0
10,NA,"6476809087",NA,0,9,NA,0,"6476809087",NA,0,NA,0
12,NA,"1960859579",NA,0,9,NA,0,"6408400473",NA,0,NA,0
13,NA,"0611998537",NA,0,10,NA,0,"0611998537",NA,0,NA,0
14,NA,"2963419753",NA,0,11,NA,0,"2963419753",NA,0,NA,0
15,NA,"5737807753",NA,0,12,NA,0,"5737807753",NA,0,NA,0
16,NA,"8207899456",NA,0,13,NA,0,"8207899456",NA,0,NA,0
17,NA,"9885794748",NA,0,14,NA,0,"9885794748",NA,0,NA,0
18,NA,"1046622843",NA,0,15,NA,0,"1046622843",NA,0,NA,0
19,NA,"8534099123",NA,0,16,NA,0,"8534099123",NA,0,NA,0
20,NA,"5390193581",NA,0,17,NA,0,"5390193581",NA,0,NA,0
21,NA,"1570930305",NA,0,18,NA,0,"1570930305",NA,0,NA,0
22,NA,"7188395348",NA,0,19,NA,0,"7188395348",NA,0,NA,0
23,NA,"1473607212",NA,0,20,NA,0,"1473607212",NA,0,NA,0
24,NA,"4125549487",NA,0,21,NA,0,"4125549487",NA,0,NA,0
25,NA,"6906204231",NA,0,15,NA,0,"6906204231",NA,0,NA,0
26,NA,"6818512452",NA,0,20,NA,0,"6818512452",NA,0,NA,0
27,NA,"3468068639",NA,0,22,NA,0,"3468068639",NA,0,NA,0
28,NA,"5994106487",NA,0,23,NA,0,"5994106487",NA,0,NA,0
29,NA,"1479196470",NA,0,24,NA,0,"1479196470",NA,0,NA,0
30,NA,"0317272451",NA,0,25,NA,0,"0317272451",NA,0,NA,0
31,NA,"8871209587",NA,0,26,NA,0,"8871209587",NA,0,NA,0
32,NA,"6473874056",NA,0,27,NA,0,"6473874056",NA,0,NA,0
33,NA,"6207630138",NA,0,28,NA,0,"6207630138",NA,0,NA,0
34,NA,"0854814314",NA,0,29,NA,0,"0854814314",NA,0,NA,0
35,NA,"9487448310",NA,0,30,NA,0,"9487448310",NA,0,NA,0
36,NA,"9361244634",NA,0,31,NA,0,"9361244634",NA,0,NA,0
37,NA,"8744491780",NA,0,32,NA,0,"8744491780",NA,0,NA,0
38,NA,"7105408565",NA,0,27,NA,0,"7105408565",NA,0,NA,0
39,NA,"8723812670",NA,0,33,NA,0,"8723812670",NA,0,NA,0
40,NA,"8856309958",NA,0,34,NA,0,"8856309958",NA,0,NA,0
41,NA,"2960976210",NA,0,36,NA,0,"2960976210",NA,0,NA,0
42,NA,"9249792168",NA,0,37,NA,0,"9249792168",NA,0,NA,0
43,NA,"3128075242",NA,0,38,NA,0,"3128075242",NA,0,NA,0
44,NA,"8708207447",NA,0,39,NA,0,"8708207447",NA,0,NA,0
45,NA,"2052541087",NA,0,40,NA,0,"2052541087",NA,0,NA,0
46,NA,"0481999936",NA,0,41,NA,0,"0481999936",NA,0,NA,0
47,NA,"9107744185",NA,0,42,NA,0,"9107744185",NA,0,NA,0
48,NA,"9786686491",NA,0,43,NA,0,"9786686491",NA,0,NA,0
49,NA,"1465101033",NA,0,44,NA,0,"1465101033",NA,0,NA,0
50,NA,"2788917898",NA,0,17,NA,0,"2788917898",NA,0,NA,0
51,NA,"1233847710",NA,0,45,NA,0,"1233847710",NA,0,NA,0
52,NA,"8028049356",NA,0,46,NA,0,"8028049356",NA,0,NA,0
53,NA,"5501167483",NA,0,47,NA,0,"5501167483",NA,0,NA,0
54,NA,"4416657674",NA,0,48,NA,0,"4416657674",NA,0,NA,0
55,NA,"3592689607",NA,0,49,NA,0,"3592689607",NA,0,NA,0
56,NA,"9688809345",NA,0,50,NA,0,"9688809345",NA,0,NA,0
57,NA,"5972737463",NA,0,51,NA,0,"5972737463",NA,0,NA,0
58,NA,"1449018601",NA,0,52,NA,0,"1449018601",NA,0,NA,0
